"VM name","# Cores","Memory (GiB)","Max # disks","Linux price","Windows price","Best price region / Diff %"
Basic_A0,1,0.75,1,0.018,0.018,"South India / -11.1%"
Basic_A1,1,1.75,2,0.025,0.035,"East US / -8%"
Basic_A2,2,3.5,4,0.079,0.133,"East US 2 / -13.9%"
Basic_A3,4,7,8,0.176,0.296,"East US / 0%"
Basic_A4,8,14,16,0.352,0.592,"East US / 0%"
Standard_A0,1,0.75,1,0.02,0.02,"South India / -10%"
Standard_A1,1,1.75,2,0.06,0.09,"West Central US / -15%"
Standard_A1_v2,1,2,2,0.043,0.065,"West US 2 / -16.3%"
Standard_A2,2,3.5,4,0.12,0.18,"West Central US / -15.8%"
Standard_A2_v2,2,4,4,0.091,0.136,"West US 2 / -16.5%"
Standard_A2m_v2,2,16,4,0.124,0.188,"West US 2 / -20.2%"
Standard_A3,4,7,8,0.24,0.36,"West Central US / -15.8%"
Standard_A4,8,14,16,0.48,0.72,"West Central US / -15.6%"
Standard_A4_v2,4,8,8,0.191,0.286,"West US 2 / -16.8%"
Standard_A4m_v2,4,32,8,0.248,0.375,"West US 2 / -16.1%"
Standard_A5,2,14,4,0.22,0.3,"Korea Central / -21.8%"
Standard_A6,4,28,8,0.44,0.6,"Korea Central / -22%"
Standard_A7,8,56,16,0.88,1.2,"Korea Central / -21.9%"
Standard_A8,8,56,32,0.875,1.35,"South Central US / 0%"
Standard_A8_v2,8,16,16,0.4,0.6,"West US 2 / -16.8%"
Standard_A8m_v2,8,64,16,0.495,0.75,"West US 2 / -11.7%"
Standard_A9,16,112,64,1.75,2.7,"South Central US / 0%"
Standard_A10,8,56,32,0.7,1.08,"South Central US / 0%"
Standard_A11,16,112,64,1.4,2.16,"South Central US / 0%"
Standard_B1ms,1,2,2,0.025,0.035,"East US / -17.2%"
Standard_B1s,1,1,2,0.013,0.019,"East US / -16.9%"
Standard_B2ms,2,8,4,0.103,0.134,"East US / -17.9%"
Standard_B2s,2,4,4,0.052,0.072,"East US / -18.7%"
Standard_B4ms,4,16,8,0.207,0.252,"East US / -18.3%"
Standard_B8ms,8,32,16,0.414,0.482,"East US / -18.3%"
Standard_D1,1,3.5,4,0.067,0.13,"East US 2 / 0%"
Standard_D1_v2,1,3.5,4,0.064,0.13,"East US 2 / -10.9%"
Standard_D2,2,7,8,0.134,0.26,"East US 2 / 0%"
Standard_D2_v2,2,7,8,0.127,0.26,"East US 2 / -10.2%"
Standard_D2_v2_Promo,2,7,8,0.11,0.211,"East US / -9.1%"
Standard_D2_v3,2,8,4,0.11,0.211,"East US / -12.7%"
Standard_D3,4,14,16,0.268,0.52,"East US 2 / 0%"
Standard_D3_v2,4,14,16,0.255,0.52,"East US 2 / -10.2%"
Standard_D3_v2_Promo,4,14,16,0.22,0.422,"East US / -9.1%"
Standard_D4,8,28,32,0.536,1.04,"East US 2 / 0%"
Standard_D4_v2,8,28,32,0.509,1.04,"East US 2 / -10%"
Standard_D4_v2_Promo,8,28,32,0.44,0.845,"East US / -9.1%"
Standard_D4_v3,4,16,8,0.22,0.422,"East US / -12.7%"
Standard_D5_v2,16,56,64,1.018,1.872,"East US 2 / -10%"
Standard_D5_v2_Promo,16,56,64,0.88,1.69,"East US / -9.1%"
Standard_D8_v3,8,32,16,0.44,0.845,"East US / -12.7%"
Standard_D11,2,14,8,0.175,0.3,"East US 2 / 0%"
Standard_D11_v2,2,14,8,0.166,0.3,"East US 2 / -10.2%"
Standard_D11_v2_Promo,2,14,8,0.146,0.248,"East US / -8.9%"
Standard_D12,4,28,16,0.35,0.6,"East US 2 / 0%"
Standard_D12_v2,4,28,16,0.333,0.6,"East US 2 / -10.2%"
Standard_D12_v2_Promo,4,28,16,0.293,0.495,"East US / -9.2%"
Standard_D13,8,56,32,0.7,1.08,"East US 2 / 0%"
Standard_D13_v2,8,56,32,0.665,1.08,"East US 2 / -10.1%"
Standard_D13_v2_Promo,8,56,32,0.585,0.99,"East US / -9.1%"
Standard_D14,16,112,64,1.387,1.944,"East US 2 / 0%"
Standard_D14_v2,16,112,64,1.33,1.944,"East US 2 / -10%"
Standard_D14_v2_Promo,16,112,64,1.17,1.944,"East US / -9.1%"
Standard_D15_v2,20,140,64,1.663,2.43,"East US 2 / -10%"
Standard_D16_v3,16,64.09765625,32,0.88,1.69,"East US / -12.7%"
Standard_D32_v3,32,128,32,1.76,3.38,"East US / -12.7%"
Standard_D64_v3,64,256,32,3.52,6.76,"East US / -12.7%"
Standard_DS1,1,3.5,4,0.067,0.13,"East US 2 / 0%"
Standard_DS1_v2,1,3.5,4,0.064,0.13,"East US 2 / -10.9%"
Standard_DS2,2,7,8,0.134,0.26,"East US 2 / 0%"
Standard_DS2_v2,2,7,8,0.127,0.26,"East US 2 / -10.2%"
Standard_DS2_v2_Promo,2,7,8,0.11,0.211,"East US / -9.1%"
Standard_DS3,4,14,16,0.268,0.52,"East US 2 / 0%"
Standard_DS3_v2,4,14,16,0.255,0.52,"East US 2 / -10.2%"
Standard_DS3_v2_Promo,4,14,16,0.22,0.422,"East US / -9.1%"
Standard_DS4,8,28,32,0.536,1.04,"East US 2 / 0%"
Standard_DS4_v2,8,28,32,0.509,1.04,"East US 2 / -10%"
Standard_DS4_v2_Promo,8,28,32,0.44,0.845,"East US / -9.1%"
Standard_DS5_v2,16,56,64,1.018,1.872,"East US 2 / -10%"
Standard_DS5_v2_Promo,16,56,64,0.88,1.69,"East US / -9.1%"
Standard_DS11,2,14,8,0.175,0.3,"East US 2 / 0%"
Standard_DS11_v2,2,14,8,0.166,0.3,"East US 2 / -10.2%"
Standard_DS11_v2_Promo,2,14,8,0.146,0.248,"East US / -8.9%"
Standard_DS12,4,28,16,0.35,0.6,"East US 2 / 0%"
Standard_DS12_v2,4,28,16,0.333,0.6,"East US 2 / -10.2%"
Standard_DS12_v2_Promo,4,28,16,0.293,0.495,"East US / -9.2%"
Standard_DS13,8,56,32,0.7,1.08,"East US 2 / 0%"
Standard_DS13_v2,8,56,32,0.665,1.08,"East US 2 / -10.1%"
Standard_DS13_v2_Promo,8,56,32,0.585,0.99,"East US / -9.1%"
Standard_DS14,16,112,64,1.387,1.944,"East US 2 / 0%"
Standard_DS14_v2,16,112,64,1.33,1.944,"East US 2 / -10%"
Standard_DS14_v2_Promo,16,112,64,1.17,1.944,"East US / -9.1%"
Standard_DS15_v2,20,140,64,1.663,2.43,"East US 2 / -10%"
Standard_E2_v3,2,16,4,0.146,0.248,"East US / -8.9%"
Standard_E4_v3,4,32,8,0.293,0.495,"East US / -9.2%"
Standard_E8_v3,8,64,16,0.585,0.99,"East US / -9.1%"
Standard_E16_v3,16,128,32,1.17,1.944,"East US / -9.1%"
Standard_E32_v3,32,256,32,2.341,3.96,"East US / -9.1%"
Standard_E64_v3,64,432,32,4.412,7.465,"East US / -9.1%"
Standard_F1,1,2,4,0.055,0.103,"East US / -9.1%"
Standard_F1s,1,2,4,0.055,0.103,"East US / -9.1%"
Standard_F2,2,4,8,0.11,0.205,"East US 2 / -10%"
